album_name,danceability_mean,energy_mean,loudness_mean,speechiness_mean,acousticness_mean,instrumentalness_mean,liveness_mean,valence_mean,tempo_mean,mode_mode,key_mode,time_signature_mode,name,images
Christmas In The Heart,0.5468666666666666,0.4732,-6.691800000000001,0.0346866666666666,0.7452000000000001,0.0,0.1371133333333333,0.4987333333333333,100.30386666666666,1,7,4,Christmas In The Heart,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cfff88f4afc7f485b123309a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02cfff88f4afc7f485b123309a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851cfff88f4afc7f485b123309a', 'width': 64}]"
Desire,0.5258888888888889,0.6307777777777778,-8.600777777777777,0.0379444444444444,0.155,6.505777777777777e-05,0.1585333333333333,0.5866666666666667,134.80588888888892,1,7,4,Desire,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738e1a23e42f68260b7b274e09', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e028e1a23e42f68260b7b274e09', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048518e1a23e42f68260b7b274e09', 'width': 64}]"
Down In The Groove,0.5633,0.5127200000000001,-12.2574,0.04348,0.37046,0.000221148,0.11333,0.5649,118.1985,1,9,4,Down In The Groove,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738f30f2289bcb57b555844a55', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e028f30f2289bcb57b555844a55', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048518f30f2289bcb57b555844a55', 'width': 64}]"
Dylan & The Dead (Live),0.4777142857142857,0.5191428571428571,-13.934142857142858,0.0555285714285714,0.1436414285714285,0.0031918471428571,0.9475714285714286,0.5004285714285714,139.044,1,2,4,Dylan & The Dead (Live),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27378835a7d6df72f22995643fd', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0278835a7d6df72f22995643fd', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485178835a7d6df72f22995643fd', 'width': 64}]"
Dylan (1973),0.4648888888888889,0.5564444444444444,-9.918444444444445,0.0419111111111111,0.4891111111111111,5.227111111111111e-05,0.1915666666666666,0.5216666666666667,116.24055555555556,1,0,4,Dylan (1973),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739e72ae4ecf92f9399b04d4b7', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029e72ae4ecf92f9399b04d4b7', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519e72ae4ecf92f9399b04d4b7', 'width': 64}]"
Empire Burlesque,0.5567,0.59029,-12.8074,0.04643,0.21188,4.1674e-05,0.16597,0.6063,126.8401,1,4,4,Empire Burlesque,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273643fea9543f5050ec89929d9', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02643fea9543f5050ec89929d9', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851643fea9543f5050ec89929d9', 'width': 64}]"
Fallen Angels,0.51875,0.086875,-21.90083333333333,0.0414666666666666,0.8382499999999999,2.0878333333333333e-05,0.1279166666666666,0.3195,97.95941666666666,1,0,4,Fallen Angels,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27390e16023e3a2b202820c15ed', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0290e16023e3a2b202820c15ed', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485190e16023e3a2b202820c15ed', 'width': 64}]"
"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17",0.5257826086956522,0.600695652173913,-8.22008695652174,0.0375347826086956,0.4496130434782609,0.0258522030434782,0.1457695652173913,0.4599130434782608,120.53339130434784,1,4,4,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17","[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273edb584ee826b6b32126bafd6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02edb584ee826b6b32126bafd6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851edb584ee826b6b32126bafd6', 'width': 64}]"
"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.50808,0.60844,-8.342039999999999,0.043668,0.4446549999999999,0.0319744268,0.295258,0.4711999999999999,122.99878,1,4,4,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)","[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ca319c649fbaa3c9829cf370', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ca319c649fbaa3c9829cf370', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ca319c649fbaa3c9829cf370', 'width': 64}]"
Good As I Been To You,0.5446153846153846,0.2857692307692308,-13.119,0.0307692307692307,0.8035384615384615,0.0153124523076923,0.1493076923076923,0.4489230769230769,114.5986923076923,1,10,4,Good As I Been To You,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735bc5cac089022a15ce1e845b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025bc5cac089022a15ce1e845b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515bc5cac089022a15ce1e845b', 'width': 64}]"
